Product_ID,Product_Name,Category,Sub_Category,Brand,Gender,Size_Available,Color,Texture,Material_Quality,Trend_Tag,Price,Discount_Percent,Accessories_Match,Brand_Ambassador,Season,Launch_Year,In_Stock,Ratings
MTR10000,Basic Jeans,Footwear,Sneakers,Allen Solly,Unisex,"M, L, XL",Black,Smooth,Recycled,Minimalist,4714,15%,Cap,Virat Kohli,All Season,2024,Yes,3.6
MTR10001,Slim Fit Hoodies,Winterwear,Shirts,Levi’s,Women,"S, M, L, XL",Black,Matte,Premium,Y2K,585,30%,Sunglasses,Ranveer Singh,Summer,2024,Yes,4.0
MTR10002,Basic Jeans,Winterwear,Sneakers,Puma,Men,Free Size,Black,Textured,Standard,Retro,1961,15%,Leather Belt,Deepika Padukone,Winter,2025,Yes,3.7
MTR10003,Sporty Kurtis,Accessories,Scarves,Zara,Unisex,Free Size,White,Glossy,Premium,Retro,549,25%,Leather Belt,Deepika Padukone,Summer,2025,Yes,4.5
MTR10004,Basic Kurtis,Bottomwear,Shirts,Adidas,Men,Free Size,Beige,Matte,Standard,Athleisure,3536,20%,Cap,Virat Kohli,All Season,2025,No,4.4
MTR10005,Basic Sandals,Ethnic,Scarves,Nike,Men,UK 6–11,Yellow,Ribbed,Standard,Minimalist,5801,25%,Watch,Ranveer Singh,Winter,2023,No,3.6
MTR10006,Casual Jeans,Winterwear,T-Shirt,Allen Solly,Men,UK 6–11,Beige,Matte,Eco-Friendly,Boho,1058,15%,Statement Brooch,Virat Kohli,All Season,2023,No,4.6
MTR10007,Floral Kurtis,Footwear,T-Shirt,H&M,Women,UK 6–11,Navy Blue,Glossy,Recycled,Y2K,920,30%,Silver Jhumkas,Virat Kohli,Winter,2023,No,3.7
MTR10008,Slim Fit Scarves,Footwear,Shirts,Zara,Men,"XS, S, M, L",Grey,Ribbed,Standard,Y2K,1279,30%,Statement Brooch,None,Winter,2023,Yes,4.6
MTR10009,Formal Sneakers,Winterwear,Shirts,Roadster,Unisex,UK 6–11,Black,Matte,Eco-Friendly,Retro,4543,20%,Sunglasses,Deepika Padukone,Summer,2023,No,3.6
